Gene	ZT2-Rep1	ZT6-Rep1	ZT10-Rep1	ZT14-Rep1	ZT18-Rep1	ZT22-Rep1	ZT2-Rep2	ZT6-Rep2	ZT10-Rep2	ZT14-Rep2	ZT18-Rep2	ZT22-Rep2	ZT2-Rep3	ZT6-Rep3	ZT10-Rep3	ZT14-Rep3	ZT18-Rep3	ZT22-Rep3
AT3G02360	83.5916	56.7119	67.4327	63.234	80.4327	65.6958	59.2422	60.3804	64.8215	72.4146	70.8669	67.1669	65.3937	58.8272	68.5053	64.55	74.3704	69.3785
AT1G47230	6.93201	8.29422	9.53334	9.78256	9.99521	10.1123	10.2817	7.40849	9.0482	9.66537	9.54176	9.81046	7.88216	7.12926	9.31651	7.17204	8.42805	10.3718
AT4G28620	0.192139	0	0	0	0.0526022	0	0	0.0472196	0	0	0.0492774	0.0562674	0	0	0.0381407	0	0.101045	0.0455845
AT4G30410	8.14623	9.63585	12.8775	11.7749	9.45676	12.6459	9.78826	11.7603	15.3247	10.4251	8.39708	13.0085	9.03571	13.3565	13.3274	13.0246	7.54369	12.3225
AT2G33440	9.96222	9.83105	9.84734	15.9735	13.0427	14.3028	11.574	9.10698	10.1518	11.4033	14.0933	13.5151	10.1482	9.60551	10.9597	13.8939	11.5665	13.5004
AT2G38490	0.137744	0.301422	0.439629	0.25418	0.112273	0.191361	0.188577	0.355911	0.13195	0.328525	0.162235	0.0610128	0.336298	0.345262	0.327708	0.416044	0.110423	0.147217
AT2G26940	0	0	0	0.14806	0.139507	0.117782	0	0	0	0	0	0	0	0	0.103255	0	0.274687	0
AT2G39360	5.46916	5.85104	6.40285	6.47519	8.54912	9.0697	5.13567	6.29318	6.80334	8.5145	7.71036	9.96054	5.91103	6.76072	7.50883	6.88405	7.46097	7.64184
AT2G18370	36.1859	47.7492	48.127	56.1823	48.657	56.7936	37.4514	51.0927	44.7401	45.3307	60.1318	54.077	43.6066	54.1516	58.6069	56.0004	52.0765	54.3623
AT2G31170	17.4368	12.6293	16.7695	21.9287	16.8261	20.4314	19.514	10.7264	18.0092	24.8942	17.9255	21.2443	16.3243	11.0834	17.3905	21.4359	19.1514	20.0884
AT2G36780	0.233255	0.221968	0.727213	0.464848	1.42377	0.721821	0.416672	0.453869	0.365928	0.426366	0.990962	0.797941	0.227098	0.0634247	0.0913435	0.293186	0.835606	0.379657
AT3G30820	0.104031	0	0.0835144	0	0	0.0699062	0	0	0	0	0	0	0	0	0	0.0987348	0	0
AT3G44300	46.2192	24.2478	23.8725	17.7637	33.3137	43.1489	35.5797	28.2336	30.5407	28.318	28.219	54.3754	57.9739	32.5947	25.1532	26.0727	27.5599	52.7267
AT4G32300	7.89166	5.55361	9.02079	7.37852	14.6862	11.8687	6.50036	6.63571	8.57333	8.10134	13.8665	12.5172	6.84484	6.63449	7.45864	6.50183	13.1918	11.7716
AT1G73090	15.2598	13.3485	15.7094	21.4182	17.0283	23.1107	17.5615	13.795	13.4063	16.8841	22.0417	20.6627	15.7566	12.877	16.5448	20.5418	21.2543	23.3412
AT1G22520	27.5403	29.8411	35.8583	44.4364	40.7953	37.6692	29.9969	28.6717	33.1622	34.9487	40.5759	34.5615	33.2932	30.3123	40.0122	43.859	38.6253	36.2365
AT4G36810	85.9973	64.4949	69.5674	83.7154	60.7894	52.2811	74.1733	60.2884	69.6223	90.9203	58.2134	51.36	68.8338	58.9935	75.4944	80.864	64.4977	53.3572
AT5G59440	18.8405	13.4227	15.7449	23.4679	28.1575	34.5469	18.432	14.4447	18.3703	17.0056	26.6403	40.4013	19.939	15.7601	16.253	22.0156	27.2498	33.9581
AT1G68390	0.988895	0.637046	1.20481	1.43571	1.41437	1.37526	0.237719	0.966614	1.33858	2.05775	1.12022	1.15634	1.15149	0.817209	1.67884	1.68771	1.47296	0.695985
AT2G41750	7.12267	8.21047	10.5256	8.93472	12.4215	11.9783	7.32908	9.46773	8.23539	8.44563	14.9	12.2616	6.80561	10.3757	10.3698	10.4033	14.5171	13.0976
AT2G44500	12.036	9.40512	10.0923	8.72981	20.7479	17.8614	9.47466	12.4596	11.2911	9.38607	19.5745	18.9807	12.6268	13.5243	11.3957	10.6148	16.9397	19.8314
AT4G31450	15.2184	18.3987	15.8773	15.7468	10.8325	12.3697	14.0932	20.507	16.1154	12.4737	10.6665	11.0569	14.8541	21.6903	16.1146	14.5359	11.1952	12.1512
AT3G02580	33.0629	36.2534	40.7313	35.949	35.2059	28.9052	31.6897	36.7704	39.4271	44.5037	31.589	32.6595	32.9058	34.4983	46.1619	40.2259	33.8389	27.5706
AT1G06135	0	0.245529	0	0.291946	0	0	0	0	0	0	0	0	0.32852	0	0	0.324106	0.262309	0.234392
AT4G00800	11.9654	13.0969	13.8192	11.7676	13.1261	16.225	11.3455	12.6063	12.8606	12.6688	14.0759	15.3266	12.3903	13.3625	12.2501	10.9204	12.5387	15.7077
AT4G20970	0	0	0	1.02594	0	0.194415	0	0	0	0.670934	0	0.243952	0.272731	0.228425	0.492009	0.56899	0	0
AT3G25810	0	0.107524	0.0588044	0	0.182917	0.150099	0.0804705	0.0546912	0	0.0589355	0.112809	0.0646071	0.0737384	0	0.0444127	0.0707355	0.117821	0.105474
AT1G62670	3.5732	3.0839	2.94027	3.26024	2.98394	3.4483	3.06131	3.47131	2.25322	2.98244	2.85919	2.46655	2.5518	3.01482	2.8535	2.498	2.57768	2.55051
AT1G73325	0.51169	0.18815	0	0.461298	0	0	0.690901	0.375808	0	0.801323	0.198682	0.452796	0.743138	0	0	1.25764	0.59857	0.179402
AT5G52050	3.08724	1.72323	1.18961	8.65436	10.356	12.4668	5.10933	1.21577	1.12125	6.57991	12.6193	10.7722	4.09554	1.89618	1.4995	8.4472	18.302	14.2033
AT1G73320	3.77513	4.21714	5.45964	6.31845	5.13734	6.78005	4.97326	4.73895	3.58988	6.15629	5.6669	6.13296	5.12451	4.02394	5.88896	6.54523	4.08456	5.03122
AT5G54840	10.6816	10.8201	13.0015	18.2574	13.8335	15.2044	11.5203	11.944	10.8125	12.8054	15.7931	14.0953	14.6195	14.2798	12.3123	14.8611	13.6545	16.2227
AT2G05635	0	0.319679	0	0	0	0	0	0	0	0	0.337383	0	0.431658	0	0	0.868452	0	0.308088
AT2G05632	11.3367	8.43631	9.29245	22.3746	19.5197	16.411	9.85894	7.105	6.19605	18.8039	26.2978	18.2985	13.2643	9.55809	7.64024	21.5958	18.0117	15.1216
AT2G37780	0	0	0	0	0	0	0	0.148388	0	0	0	0	0	0	0.119792	0	0	0.140389
AT2G05630	11.4205	20.5002	39.8454	39.4642	38.7943	43.1655	13.0931	18.695	39.5803	42.0688	39.7121	36.2342	13.6123	22.9548	41.7	38.0568	41.7769	37.9859
AT1G68640	1.40493	1.45997	2.3994	2.37994	2.2001	2.15889	2.19745	1.42548	0.887344	1.51203	2.84451	2.69423	2.14947	1.02806	1.80333	2.3278	2.06896	1.86344
AT1G05920	0	0	0	0	0	0	0	0.062214	0	0	0	0	0	0	0	0	0	0
AT5G56990	1.63196	2.78954	2.02868	4.48254	3.39552	6.7573	2.05205	1.33614	3.45414	3.13687	3.60507	3.38198	1.93215	2.58875	3.4848	4.01823	3.54882	4.85135
AT1G05925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G09600	0.605318	0.219808	0	0	0	0	0.322432	0	0	0.465103	0	0	0.291123	0.255001	0.179958	0	0	0
AT2G44910	3.534	2.91532	1.01437	3.79445	2.67083	1.13716	3.02104	2.65932	1.54765	2.5287	1.99687	2.10584	3.27422	3.06618	2.3295	3.74156	3.13493	2.14848
AT1G47900	13.4333	10.5238	11.55	10.9009	10.5323	9.71253	12.1335	10.69	11.207	15.2084	10.142	9.98139	11.5362	10.2567	12.3772	10.5607	9.58146	8.83063
AT2G37435	0.251523	0.186543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G37430	1.81642	2.68576	3.33479	3.61865	2.08348	0.855025	1.38272	3.11621	3.1908	3.15451	2.07554	1.58831	3.06829	2.29406	2.28569	1.21281	2.00486	1.67411
AT1G76310	5.40313	12.6473	11.8733	10.4213	8.81851	8.91864	9.54212	14.0258	10.1601	10.7213	10.2117	7.64794	7.67261	10.0703	11.3327	8.50783	10.8368	7.85659
AT2G35460	0	0	0	0	0	0	0.124322	0	0.21699	0	0.178211	0	0	0	0	0	0	0
AT3G03180	4.05942	8.10247	8.48837	7.98584	11.7574	8.78228	5.38469	9.3621	11.6425	8.16217	8.71204	10.7392	5.65899	9.16107	11.5842	6.46491	10.5877	11.8624
AT1G43260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G17920	847.678	751.69	732.964	593.717	656.546	547.437	788.068	770.555	748.08	773.992	603.923	593.175	816.755	724.681	768.386	592.239	628.536	576.362
AT1G32650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56360	0.115443	0.0841726	0	0.103018	0	0	0	0	0	0.0913368	0	0	0	0	0	0	0	0
AT5G63310	210.709	206.073	261.915	341.243	273.166	301.41	246.168	203.136	254.564	307.37	276.718	306.668	219.937	201.629	251.082	338.645	281.642	306.133
AT1G59359	204.151	114.931	128.614	162.803	145.463	145.926	169.294	118.07	130.698	187.954	130.304	158.636	162.844	100.8	135.247	157.786	138.376	144.206
AT1G29430	51.4913	28.3935	5.77458	15.6037	5.81892	21.0731	43.9637	32.2781	10.6555	14.548	8.77288	22.6869	40.4862	32.3087	6.0591	17.771	9.22874	18.3877
AT1G49500	96.8479	77.1371	54.5441	90.6445	99.3944	102.263	108.488	73.9144	60.1978	69.3194	110.855	103.056	99.938	84.6648	49.778	94.1019	123.677	106.603
AT4G36100	0.458183	0.657554	0.358739	0.39696	0.554203	0.308061	1.48238	0.839552	0.650334	1.08605	0.523222	0.992582	0.893074	0.187824	0.675222	0.219779	0.711013	1.12669
AT5G60660	15.782	17.8764	19.3162	12.8091	18.9451	13.2979	12.8629	18.0567	20.3804	13.3119	13.9785	16.3005	18.1565	18.3859	18.5035	13.5224	12.1447	15.6642
AT4G36105	1.13755	0.612309	0.111811	0.124205	0.341188	0.484376	0.696081	0.314378	0.13573	0	0.21793	0.486038	0.696736	0.701521	0.167614	0	0.334835	0.201643
AT3G60540	1.14531	1.91461	0.961427	1.28386	2.74473	1.06233	1.44179	2.55799	1.50803	2.11596	0.853066	1.97477	1.50754	3.73177	3.03723	1.42944	3.30731	2.40941
AT3G07950	25.5835	33.1465	29.7676	41.5122	45.778	38.0403	31.31	36.221	32.8168	33.8071	46.6859	41.7758	32.4266	31.3141	35.681	37.354	41.6599	39.4512
AT4G33160	5.22942	3.61802	4.23039	6.39276	4.95474	6.0991	3.46263	2.90057	4.45753	5.15034	5.55954	5.17843	3.45566	2.84176	3.17518	5.61257	5.89538	4.02687
AT2G03770	0.16016	0.465405	0.254246	0.414536	0.649685	0.644572	0	0.117685	0.153033	0.126257	0.242916	0.560448	0	0	0	0	0.499885	0.339262
AT5G51500	0.404356	1.00487	1.8045	1.01041	1.53424	1.22134	0.925559	1.18937	1.62697	1.13734	1.42174	1.31374	1.80332	1.22879	1.77825	0.796365	1.21122	1.56943
AT5G67120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G39210	33.1575	37.2642	73.2139	110.848	52.6593	45.592	36.1513	35.036	73.3452	91.6089	53.7928	43.4928	31.6706	34.9619	77.0237	100.824	56.9042	43.4895
AT1G67570	4.05485	3.63369	4.14506	3.88878	3.41708	3.59017	2.97771	2.69729	2.65441	3.46506	3.3964	3.65289	2.87725	3.44506	3.64363	3.92804	3.56006	4.18893
AT4G22530	9.94177	8.10291	9.06667	12.7854	15.7857	15.0896	7.82465	8.62967	11.9297	11.0602	14.1205	13.0959	12.9197	10.5085	9.40038	12.8539	14.5683	14.2985
AT3G04600	20.2558	21.4195	26.7832	28.425	36.2052	40.147	27.8404	22.4948	28.7367	32.218	37.7821	37.6129	29.7639	21.2918	30.1441	26.6261	35.4967	40.3657
AT3G09270	94.3548	85.8524	108.842	122.861	140.349	72.6353	63.6675	96.3366	97.511	131.947	112.049	78.0057	105.291	105.06	112.69	117.053	116.792	90.5581
