Gene	control.Rep1	control.Rep2	control.Rep3	control.Rep4	heat.Rep1	heat.Rep2	heat.Rep3	heat.Rep4	drought.Rep1	drought.Rep2	drought.Rep3	drought.Rep4
AT2G28500	-1.1926827	-1.9138513	-1.714117	-1.3812814	2.7846322	2.4653888	2.6864629	0.4753313	-1.2838831	-1.2676058	-0.58965874	-0.896296
AT5G13930	-3.427322	-2.2663822	-3.0002117	-3.738626	0.8279209	0.8397875	0.21602535	0	-4.2470856	-3.459074	-3.5995493	-3.8650494
AT5G03210	0	-1.6540828	-1.9738646	-0.8214145	-1.0039444	-0.5737624	0.8381634	-1.359509	-0.44883442	-1.4534864	1.0543203	-0.032029152
AT1G57850	-3.049086	-2.9352922	-3.6185517	-2.889946	1.1433144	0.9940891	1.6149607	1.7874174	-1.5557084	-1.6915641	-0.912302	-0.71488047
AT3G09870	-0.026521206	-3.832028	-2.1457415	-1.0387373	0.89095306	1.2368355	2.2029963	1.5395947	-0.3150382	-1.0943365	1.1056347	0.39632463
AT1G50400	-3.3628235	-3.3276672	-3.2666178	-3.9790258	0.026857376	0.22112417	0.44432735	0.5701361	-3.2146788	-2.9079013	-3.4151983	-2.6699753
AT1G02800	-3.7117128	-2.699205	-2.7352133	-2.5132031	0.73270035	0.67846775	0.46297503	0.5561223	-4.0683603	-3.93857	-2.979127	-2.8318348
AT1G15010	-2.0641794	-3.4941015	-3.607926	-2.887443	1.7508163	1.3481798	2.4956245	2.3280106	-3.5410638	-3.568231	-0.09374142	1.955142
AT3G62040	-1.691031	-3.1631856	-3.1525779	-3.1986094	0.040298462	0.13023472	0.29025078	0.23550797	-2.3554282	-1.734314	-1.8674016	-1.5897493
AT5G30500	-1.0242391	-2.2836485	-1.8725314	-1.9645314	0.90915823	0.75326204	0.47899723	0	-0.036162376	-0.0434165	-0.8417444	-1.0178785
AT3G50800	-0.7584553	-3.1089497	-2.0390253	-0.61295986	0.80959797	-0.35905552	1.0737104	0.20733166	1.1883316	-0.070096016	1.6419182	1.3303442
AT1G75388	-3.1708598	-3.1467528	-2.9904113	-3.371426	0.8583679	0.39833736	0	0.21147966	-2.6778412	-2.9746332	-2.8896828	-2.3815665
AT5G62520	-2.020154	-4.6746497	-3.3216577	-1.7932825	0.8624964	1.1345882	2.747963	2.6330233	-3.5141587	-3.305253	1.5765676	0.15796757
AT5G64510	-2.5014138	-2.1885285	-2.54383	-2.1243048	1.1514874	0.76342106	0.15373135	-0.50012016	-1.4589424	-1.6426344	-1.5425243	-0.7059212
AT3G02840	-0.57123375	-3.103921	-2.1461797	-1.4102626	2.9375172	2.8142014	4.2566175	2.113884	-1.9712734	-2.8448272	1.7167053	-1.0725536
AT4G29270	-3.4694867	-2.323989	-2.5465126	-2.6764526	0.67681885	0.5986357	0.5597248	0.7224283	-2.9055	-2.7376342	-2.7581105	-3.0643816
AT1G06080	-3.3596516	-2.6782684	-2.8597984	-3.084505	0.22881985	0.18132782	0	0.76109314	-3.5589304	-3.581356	-3.2661123	-3.0384789
AT1G32560	-0.85419893	-1.0922084	-1.5441694	-0.9815273	0.87787247	1.0570025	1.279809	0.5129843	-0.18403387	0	-0.42840433	-0.13402748
AT2G27660	-2.0969357	-3.1154256	-4.373355	-2.8667445	0.6834545	0.51878786	1.3075895	1.6426263	0.35235405	-2.0228958	-1.5299792	0.745069
AT1G76650	-0.9362116	-3.4874878	-2.816843	-1.9587603	2.3875084	1.8438396	3.3548489	2.5147772	-1.742754	-2.1448088	1.5715322	0.092289925
AT5G51990	-0.3902936	-3.6223164	-2.2051091	-1.1082897	4.0480857	3.549727	4.7554812	3.558786	-2.0517344	-2.0376568	1.9237208	-1.0956707
AT2G41010	-0.9674187	-2.3897724	-2.0260706	-1.392664	2.318143	1.8565588	2.294629	1.4928637	-1.2661266	-1.8154049	-0.20739937	-0.98253345
AT3G48240	-2.1853662	-1.3025022	-1.838902	-1.1749759	0.5700331	0.9231429	0.78634787	0	-1.6182599	-1.6467032	-2.1407585	-1.1466012
AT3G24500	-1.0494385	-1.1300755	-0.7514343	-0.5654621	0.60806084	0.014397621	-0.9296379	-1.9089298	-0.46079636	-0.84363365	0	0.25493145
AT4G01390	-1.7366557	-3.384986	-2.72716	-2.713409	0.45199633	0.419065	0.5818515	0.4139061	-1.6673784	-1.8157306	-1.299118	-1.438631
AT3G21150	-1.8863096	-2.2316356	-2.1644244	-2.0715675	1.0242791	1.3239102	1.5725818	0.3223405	-1.9252133	-1.9407711	-1.1546211	-1.85535
AT5G54165	-2.0220866	-2.5255694	-1.6581264	-2.3444614	-1.8163123	-2.3190436	-2.2606287	-0.80241823	-1.0860472	-0.9076729	-0.4623785	0.034132957
AT1G80130	-1.6593294	-2.3221416	-2.395833	-2.118719	0.000471	0.10093784	0.007353783	0.80469036	-0.78385544	-0.96418285	-0.8216324	-0.96382713
AT1G27670	-2.5655437	-3.1433468	-1.4900823	-2.6125498	1.7646074	1.4765329	1.5541935	1.3881168	-2.4127345	-2.2436595	-1.8158383	-1.8251262
AT3G48580	-2.8521123	-2.045136	-2.8708577	-1.8377137	0.18761301	0.23842287	0.6192684	0.6198611	-3.1153169	-2.8307939	-2.5869565	-2.7146344
AT1G17020	-2.1647344	-2.6758394	-1.8799963	-2.0727415	0.37970114	0.41010666	0.6358042	0.37488127	-1.2413955	-1.7248826	-1.6344662	-1.4490194
AT2G18196	-2.0505195	-2.17627	-2.9901853	-2.4669733	-0.04166317	0.11321688	0.4495473	0.5234213	-0.9377403	-1.0741997	-0.9978051	-0.57891893
AT1G03070	-1.4323292	-1.750648	-1.8325362	-1.7815742	0.3906374	0.17507935	0.18729019	0	-1.4071226	-1.1075134	-1.2846341	-1.0567288
AT5G59330	-1.1394739	-2.091753	-1.5861158	-0.26666737	-0.021018028	0.027781963	-0.14524508	-0.12429762	-0.16168594	0.27931738	-0.106803894	-0.19431448
AT1G02850	-2.4958959	-2.9903984	-3.6422396	-2.890143	-0.23788548	-0.593729	0.25585175	0.28516865	-1.2696171	-0.99233055	-0.95382357	-1.1463299
