"Row.names","V1","heat","drought"
"AT1G02550",8,-0.00519222322982664,0.267866263495753
"AT1G02575",8,-0.433012303076561,0.260029171813784
"AT1G02580",8,-0.142290596508177,0.3576607998033
"AT1G02590",1,-0.329043278891732,1.05424352459084
"AT1G02610",1,-0.158778654587786,1.53083167907021
"AT1G02620",1,0.240262412602837,0.911822955041429
"AT1G02630",8,0.187302894336849,-0.343149804587058
"AT1G02640",12,-2.86353109264946,-2.36651735690564
"AT1G02650",6,-4.18478541251756,0.894489715168581
"AT1G02660",9,-2.22447954625855,-0.462416640918808
"AT1G02690",1,-0.158746040941121,1.04051816605578
"AT1G02700",10,-0.634291168500379,1.37419293517317
"AT1G02710",4,0.311928923947798,-0.13502361178955
"AT1G02720",4,0.571861128262367,-0.419552567144347
"AT1G02750",1,-0.438352152638809,0.954130614797321
